Wall time,Step,Value
1543177731.6280982,0,5.506535530090332
1543177731.6961138,1,13.630266189575195
1543177731.7661307,2,15.891278266906738
1543177731.8351743,3,17.02188491821289
1543177731.9004805,4,20.660768508911133
1543177731.9671416,5,22.70354652404785
1543177732.031189,6,26.267589569091797
1543177732.0942032,7,27.998104095458984
1543177732.1552162,8,30.005489349365234
1543177732.2152297,9,32.063018798828125
1543177746.332424,0,33.54294204711914
1543177746.404441,1,34.615875244140625
1543177746.4684548,2,35.29302215576172
1543177746.532472,3,35.32806396484375
1543177746.5974844,4,35.69971466064453
1543177746.660499,5,35.24528884887695
1543177746.7205122,6,34.508628845214844
1543177746.7815285,7,33.80527114868164
1543177746.8415399,8,32.957645416259766
1543177746.9025533,9,32.04509735107422
1543177762.442127,0,30.914127349853516
1543177762.512157,1,30.09745216369629
1543177762.576161,2,29.071794509887695
1543177762.6421778,3,28.112096786499023
1543177762.7041903,4,27.13376235961914
1543177762.7652128,5,25.931230545043945
1543177762.8252265,6,24.803796768188477
1543177762.8842397,7,23.699237823486328
1543177762.9442534,8,22.62468910217285
1543177763.0032673,9,21.525659561157227
1543177779.063911,0,20.591293334960938
1543177779.1335394,1,19.59170150756836
1543177779.201847,2,18.68054962158203
1543177779.2664995,3,17.77693748474121
1543177779.3323224,4,16.9256534576416
1543177779.3963463,5,16.11583709716797
1543177779.4593515,6,15.367449760437012
1543177779.524367,7,14.606513977050781
1543177779.5893836,8,13.853044509887695
1543177779.6533952,9,13.1732177734375
1543177795.7610404,0,12.497013092041016
1543177795.8310559,1,11.89031982421875
1543177795.905072,2,11.312520027160645
1543177795.9710896,3,10.791877746582031
1543177796.0361028,4,10.29013442993164
1543177796.0991163,5,9.82472038269043
1543177796.163131,6,9.364851951599121
1543177796.2251449,7,8.937357902526855
1543177796.2851675,8,8.537240982055664
1543177796.3451717,9,8.16108226776123
1543177811.840678,0,7.75286865234375
1543177811.9087017,1,7.418356895446777
1543177811.9747071,2,7.10676908493042
1543177812.0387313,3,6.820598125457764
1543177812.1007452,4,6.541088581085205
1543177812.1627502,5,6.275961875915527
1543177812.2217724,6,6.035682678222656
1543177812.2807772,7,5.808114051818848
1543177812.3397994,8,5.591141223907471
1543177812.3988128,9,5.388331413269043
1543177828.2258403,0,5.2690582275390625
1543177828.292847,1,5.078796863555908
1543177828.3608615,2,4.894973278045654
1543177828.4228756,3,4.7377610206604
1543177828.4828982,4,4.595008850097656
1543177828.5419118,5,4.451051235198975
1543177828.6009252,6,4.3139238357543945
1543177828.66193,7,4.19446325302124
1543177828.7209437,8,4.080663681030273
1543177828.7829578,9,3.975587844848633
1543177844.534812,0,3.87723445892334
1543177844.603828,1,3.7893106937408447
1543177844.6688333,2,3.6927809715270996
1543177844.733857,3,3.6056478023529053
1543177844.795871,4,3.5194149017333984
1543177844.8578846,5,3.4426605701446533
1543177844.9198902,6,3.365786075592041
1543177844.9789128,7,3.2998878955841064
1543177845.0379171,8,3.225847005844116
1543177845.0979395,9,3.1623494625091553
1543177860.5388172,0,3.158616781234741
1543177860.6098344,1,3.093482255935669
1543177860.680355,2,3.0378098487854004
1543177860.746307,3,2.991051435470581
1543177860.8137176,4,2.9450628757476807
1543177860.8787344,5,2.894399404525757
1543177860.9437463,6,2.8487532138824463
1543177861.0067632,7,2.8027327060699463
1543177861.0687838,8,2.765878200531006
1543177861.129798,9,2.7348358631134033
1543177876.938001,0,2.7824935913085938
1543177877.00601,1,2.7174153327941895
1543177877.073023,2,2.6862902641296387
1543177877.136037,3,2.648695468902588
1543177877.1990602,4,2.6144087314605713
1543177877.2610738,5,2.5819318294525146
1543177877.3210812,6,2.551168203353882
1543177877.3800926,7,2.3158702850341797
1543177877.4411063,8,2.5353477001190186
1543177877.5011203,9,2.4239754676818848
1543177892.6396477,0,2.3956191539764404
1543177892.7206874,1,2.502925157546997
1543177892.7797003,2,2.5493924617767334
1543177892.8397136,3,2.654259204864502
1543177892.8997276,4,2.695051908493042
1543177892.959741,5,2.757176637649536
1543177893.0197546,6,2.723247528076172
1543177893.0787673,7,2.6998744010925293
1543177893.138781,8,2.673027753829956
1543177893.1987967,9,2.635138750076294
1543177908.514979,0,2.628246307373047
1543177908.5909956,1,2.6799371242523193
1543177908.6580195,2,2.5939745903015137
1543177908.721025,3,2.514615058898926
1543177908.785048,4,2.474884033203125
1543177908.8470535,5,2.4678165912628174
1543177908.907076,6,2.5013344287872314
1543177908.9670892,7,2.373703718185425
1543177909.027103,8,2.417487382888794
1543177909.0861075,9,2.326712131500244
1543177924.7466648,0,2.328036069869995
1543177924.8176723,1,2.303699016571045
1543177924.8874454,2,2.298647165298462
1543177924.9551523,3,2.279956579208374
1543177925.020177,4,2.2505152225494385
1543177925.0811813,5,2.2218072414398193
1543177925.1401947,6,2.196589231491089
1543177925.201208,7,2.145646810531616
1543177925.2612245,8,2.108072519302368
1543177925.3222356,9,2.06331729888916
1543177941.2680807,0,2.112502336502075
1543177941.3360965,1,2.0708038806915283
1543177941.3991108,2,2.0435969829559326
1543177941.4611244,3,2.0277605056762695
1543177941.5231383,4,2.002206563949585
1543177941.5831525,5,1.9808071851730347
1543177941.6421657,6,1.9470452070236206
1543177941.7021878,7,2.0603549480438232
1543177941.7602007,8,2.1430256366729736
1543177941.819214,9,2.3687126636505127
1543177956.7649431,0,2.35231876373291
1543177956.8319545,1,2.6134679317474365
1543177956.8969696,2,2.8423585891723633
1543177956.9609833,3,3.115309715270996
1543177957.0229983,4,3.2853219509124756
1543177957.0840116,5,3.391706943511963
1543177957.1450255,6,3.4297544956207275
1543177957.2040393,7,3.4017436504364014
1543177957.2630517,8,3.3311212062835693
1543177957.3210654,9,3.2200965881347656
1543177972.268447,0,3.218568801879883
1543177972.3354833,1,3.048959970474243
1543177972.400497,2,2.8815548419952393
1543177972.4625108,3,2.7306160926818848
1543177972.5245247,4,2.6641316413879395
1543177972.58553,5,2.568486213684082
1543177972.644544,6,2.5343127250671387
1543177972.7035565,7,2.5266165733337402
1543177972.7635791,8,2.598814010620117
1543177972.821583,9,2.5787460803985596
1543177987.9250004,0,2.8112635612487793
1543177987.9920244,1,2.839111328125
1543177988.0550303,2,2.8630032539367676
1543177988.1160436,3,2.870699405670166
1543177988.1780667,4,2.929737091064453
1543177988.2360709,5,2.881380558013916
1543177988.295084,6,2.86057186126709
1543177988.3540976,7,2.866149663925171
1543177988.4131107,8,2.8328983783721924
1543177988.4711332,9,2.8223392963409424
1543178003.4865212,0,2.902682065963745
1543178003.5545368,1,2.8727455139160156
1543178003.6205506,2,2.870889186859131
1543178003.682566,3,2.808948278427124
1543178003.7445884,4,2.784954071044922
1543178003.805602,5,2.71602463722229
1543178003.8646066,6,2.6773407459259033
1543178003.9246209,7,2.606008291244507
1543178003.9836426,8,2.5522310733795166
1543178004.0426474,9,2.480092763900757
1543178019.1440635,0,2.4475395679473877
1543178019.2120879,1,2.395801305770874
1543178019.2741017,2,2.3375346660614014
1543178019.3361156,3,2.3029747009277344
1543178019.397121,4,2.261561632156372
1543178019.4571352,5,2.232274293899536
1543178019.5161483,6,2.2227783203125
1543178019.575161,7,2.2173173427581787
1543178019.6341834,8,2.203115463256836
1543178019.6921966,9,2.1768360137939453
1543178035.1487386,0,2.2853636741638184
1543178035.21777,1,2.323702096939087
1543178035.283785,2,2.243581771850586
1543178035.3467991,3,2.2175705432891846
1543178035.4078126,4,2.249502658843994
1543178035.4688356,5,2.317502498626709
1543178035.5288491,6,2.355297565460205
1543178035.5878537,7,2.426894426345825
1543178035.6478763,8,2.402522563934326
1543178035.7068896,9,2.4009759426116943
1543178050.9433274,0,2.4596633911132812
1543178051.011352,1,2.3845937252044678
1543178051.076367,2,2.339649200439453
1543178051.137372,3,2.2792773246765137
1543178051.1993947,4,2.2121567726135254
1543178051.2613997,5,2.156459093093872
1543178051.320422,6,2.097614288330078
1543178051.3794355,7,2.0727503299713135
1543178051.4384394,8,2.147569179534912
1543178051.497453,9,2.0849368572235107
1543178066.7539067,0,2.080141067504883
1543178066.8209202,1,2.088148355484009
1543178066.882943,2,2.0473103523254395
1543178066.9439476,3,2.020660638809204
1543178067.0059617,4,2.008904218673706
1543178067.0649753,5,1.9741894006729126
1543178067.1239974,6,1.9330388307571411
1543178067.1830108,7,1.9037811756134033
1543178067.241024,8,1.8475114107131958
1543178067.3000283,9,1.8477421998977661
1543178082.657537,0,2.1847567558288574
1543178082.7295625,1,1.9734500646591187
1543178082.7935767,2,1.9893629550933838
1543178082.8545904,3,2.05195951461792
1543178082.9155953,4,2.0629427433013916
1543178082.9766092,5,2.0950465202331543
1543178083.035623,6,2.1119260787963867
1543178083.094636,7,2.127495288848877
1543178083.1546583,8,2.1189124584198
1543178083.2126713,9,2.081501007080078
1543178098.1090326,0,2.1990857124328613
1543178098.1780577,1,2.159322738647461
1543178098.2420719,2,2.0557236671447754
1543178098.304086,3,2.04738450050354
1543178098.366091,4,1.9838171005249023
1543178098.4251044,5,1.986244559288025
1543178098.4841266,6,1.9434795379638672
1543178098.5441406,7,1.9210325479507446
1543178098.6031535,8,1.8726987838745117
1543178098.6611578,9,1.8279188871383667
1543178113.8786006,0,1.991053819656372
1543178113.9456496,1,1.8951407670974731
1543178114.0096552,2,1.8590342998504639
1543178114.0706694,3,1.8561303615570068
1543178114.132683,4,1.8197829723358154
1543178114.1916964,5,1.7959444522857666
1543178114.2507095,6,1.9462801218032837
1543178114.3097234,7,1.895016074180603
1543178114.3677366,8,1.885985016822815
1543178114.42675,9,2.0230636596679688
1543178130.0932941,0,2.1961941719055176
1543178130.161318,1,2.156450033187866
1543178130.2253244,2,2.1032774448394775
1543178130.2883475,3,2.067744493484497
1543178130.3493516,4,2.0475547313690186
1543178130.411375,5,2.0262365341186523
1543178130.4703798,6,2.0067319869995117
1543178130.5294015,7,1.983262300491333
1543178130.589406,8,1.9559135437011719
1543178130.6494288,9,1.9250478744506836
1543178145.9608843,0,2.1345112323760986
1543178146.0279207,1,2.0806970596313477
1543178146.0889256,2,2.0309689044952393
1543178146.152941,3,1.986316204071045
1543178146.2179635,4,1.9454383850097656
1543178146.2789688,5,1.9240466356277466
1543178146.3379908,6,1.8898485898971558
1543178146.397004,7,1.8663851022720337
1543178146.4550085,8,1.8360995054244995
1543178146.5140219,9,1.8063435554504395
1543178161.6584485,0,1.8811386823654175
1543178161.725472,1,1.8502168655395508
1543178161.7904866,2,1.8187894821166992
1543178161.8525004,3,1.7894444465637207
1543178161.9135146,4,1.7631855010986328
1543178161.9735281,5,1.7375688552856445
1543178162.0325327,6,1.7100058794021606
1543178162.0925467,7,1.683477759361267
1543178162.1515684,8,1.6590821743011475
1543178162.2095728,9,1.6363369226455688
1543178177.3119895,0,1.8158997297286987
1543178177.381035,1,1.7585078477859497
1543178177.4420393,2,1.699137806892395
1543178177.5030537,3,1.671341061592102
1543178177.5640678,4,1.649745225906372
1543178177.6240811,5,1.6236732006072998
1543178177.6831033,6,1.6025044918060303
1543178177.741107,7,1.580991268157959
1543178177.8001208,8,1.566846489906311
1543178177.8591342,9,1.5546367168426514
1543178193.0145633,0,1.632971167564392
1543178193.0825996,1,1.6002410650253296
1543178193.1476147,2,1.5793734788894653
1543178193.2096286,3,1.5575931072235107
1543178193.2736342,4,1.534119963645935
1543178193.3346484,5,1.5137944221496582
1543178193.39367,6,1.4966059923171997
1543178193.452675,7,1.4817450046539307
1543178193.512697,8,1.464107871055603
1543178193.57171,9,1.4466090202331543
1543178208.8851664,0,1.5706393718719482
1543178208.951182,1,1.5368289947509766
1543178209.0172048,2,1.5108146667480469
1543178209.07921,3,1.4912824630737305
1543178209.139224,4,1.4725720882415771
1543178209.1992462,5,1.4568029642105103
1543178209.2592509,6,1.4410903453826904
1543178209.318273,7,1.4250911474227905
1543178209.3762777,8,1.4080376625061035
1543178209.4362996,9,1.3912838697433472
1543178224.4606903,0,1.5437095165252686
1543178224.5297143,1,1.5021742582321167
1543178224.5907197,2,1.4783865213394165
1543178224.6527345,3,1.459413766860962
1543178224.7137475,4,1.4352285861968994
1543178224.77377,5,1.416085124015808
1543178224.8317742,6,1.3973824977874756
1543178224.8917966,7,1.3811213970184326
1543178224.949801,8,1.3633371591567993
1543178225.0088227,9,1.348215937614441
1543178241.073461,0,1.56584632396698
1543178241.140476,1,1.507878303527832
1543178241.2014894,2,1.4735709428787231
1543178241.262503,3,1.4380149841308594
1543178241.3215168,4,1.4201208353042603
1543178241.3805304,5,1.4040908813476562
1543178241.439544,6,1.3851923942565918
1543178241.498557,7,1.3722668886184692
1543178241.5575702,8,1.3569403886795044
1543178241.6165838,9,1.3447734117507935
1543178256.8490293,0,1.5797568559646606
1543178256.9150453,1,1.5302516222000122
1543178256.978059,2,1.477558970451355
1543178257.0410733,3,1.4399970769882202
1543178257.1020956,4,1.4178038835525513
1543178257.162101,5,1.4005069732666016
1543178257.2221143,6,1.3862342834472656
1543178257.2801268,7,1.3747360706329346
1543178257.338141,8,1.3615162372589111
1543178257.3981543,9,1.3470871448516846
1543178272.291532,0,1.562779188156128
1543178272.3575382,1,1.5062919855117798
1543178272.4215524,2,1.4660028219223022
1543178272.485567,3,1.4317550659179688
1543178272.5465815,4,1.4063799381256104
1543178272.6085954,5,1.3918683528900146
1543178272.6706185,6,1.375871181488037
1543178272.7286224,7,1.3605127334594727
1543178272.786635,8,1.346019983291626
1543178272.845648,9,1.3313857316970825
1543178287.5849838,0,1.506400227546692
1543178287.6550083,1,1.4556918144226074
1543178287.7210143,2,1.4126477241516113
1543178287.786029,3,1.3834850788116455
