Wall time,Step,Value
1543339602.9471526,0,504.578125
1543339603.6393094,1,501.19610595703125
1543339604.3294582,2,497.92913818359375
1543339605.0186214,3,494.6905212402344
1543339605.7047768,4,491.51422119140625
1543339606.3915424,5,488.3685607910156
1543339607.0806987,6,485.2205810546875
1543339607.7668622,7,482.11566162109375
1543339608.453197,8,479.0210876464844
1543339609.1402664,9,475.95989990234375
1543339630.3856943,0,473.0147705078125
1543339631.0923827,1,469.953125
1543339631.7955415,2,466.9398498535156
1543339632.501701,3,463.92108154296875
1543339633.2098703,4,460.9750061035156
1543339633.91803,5,458.0290222167969
1543339634.6241899,6,455.0951843261719
1543339635.3307056,7,452.2068176269531
1543339636.0382807,8,449.30462646484375
1543339636.7464502,9,446.4422912597656
1543339658.662417,0,443.6488037109375
1543339659.3705862,1,440.78460693359375
1543339660.0767372,2,437.9540100097656
1543339660.7839057,3,435.1510314941406
1543339661.4951053,4,432.3728332519531
1543339662.2053967,5,429.61029052734375
1543339662.9212685,6,426.8704528808594
1543339663.6361306,7,424.1452941894531
1543339664.3465555,8,421.4459228515625
1543339665.056718,9,418.7562561035156
1543339687.2111213,0,416.15850830078125
1543339687.9262638,1,413.47900390625
1543339688.6374233,2,410.8280944824219
1543339689.3455837,3,408.20294189453125
1543339690.0647564,4,405.593505859375
1543339690.7709067,5,403.00982666015625
1543339691.4836519,6,400.4376525878906
1543339692.1978712,7,397.8826904296875
1543339692.9090018,8,395.347900390625
1543339693.6211627,9,392.82965087890625
1543339715.3941045,0,390.4486389160156
1543339716.1002655,1,387.9331970214844
1543339716.8034246,2,385.4443054199219
1543339717.5065837,3,382.9786682128906
1543339718.2137995,4,380.5367736816406
1543339718.9179676,5,378.1073303222656
1543339719.6211545,6,375.6980895996094
1543339720.3263483,7,373.3050231933594
1543339721.0335171,8,370.92376708984375
1543339721.7466695,9,368.56072998046875
1543339743.5872607,0,366.821044921875
1543339744.2936068,1,365.63134765625
1543339744.999766,2,364.453857421875
1543339745.7039251,3,363.28240966796875
1543339746.4080935,4,362.1180725097656
1543339747.1112437,5,360.95623779296875
1543339747.8164032,6,359.8023681640625
1543339748.5255725,7,358.65130615234375
1543339749.2335212,8,357.50537109375
1543339749.9396896,9,356.3631286621094
1543339771.426635,0,355.2920837402344
1543339772.131842,1,354.138671875
1543339772.8350005,2,352.99737548828125
1543339773.5391512,3,351.86273193359375
1543339774.245311,4,350.73681640625
1543339774.949479,5,349.612060546875
1543339775.6556387,6,348.4951171875
