Wall time,Step,Value
1543187579.4408941,0,83.78140258789062
1543187579.5564015,1,512.29052734375
1543187579.6734838,2,781.892578125
1543187579.7967877,3,840.7804565429688
1543187579.9136908,4,759.4349365234375
1543187580.0288935,5,622.1538696289062
1543187580.141335,6,482.00946044921875
1543187580.260608,7,364.6830139160156
1543187580.3759918,8,275.3882751464844
1543187580.4897945,9,211.18582153320312
1543187595.3805668,0,166.07626342773438
1543187595.5032012,1,133.95985412597656
1543187595.6177864,2,110.31454467773438
1543187595.7298522,3,92.27251434326172
1543187595.8417072,4,77.88502502441406
1543187595.9548488,5,66.07901000976562
1543187596.068163,6,56.30241012573242
1543187596.1806293,7,48.31147766113281
1543187596.2927077,8,42.61288070678711
1543187596.405721,9,37.048683166503906
1543187611.0947664,0,31.690515518188477
1543187611.2163973,1,27.203388214111328
1543187611.3310301,2,23.23466682434082
1543187611.4428656,3,19.841779708862305
1543187611.5575926,4,17.03703498840332
1543187611.669636,5,14.711277961730957
1543187611.783662,6,12.811134338378906
1543187611.8986967,7,11.314136505126953
1543187612.009327,8,10.811744689941406
1543187612.1200051,9,10.242981910705566
1543187627.4538739,0,8.89892292022705
1543187627.5710735,1,7.629486560821533
1543187627.6845846,2,6.834196090698242
1543187627.795498,3,6.552833080291748
1543187627.9094894,4,6.276844024658203
1543187628.0200288,5,5.751958847045898
1543187628.132616,6,5.115596771240234
1543187628.244641,7,4.64308500289917
1543187628.3556669,8,5.0453691482543945
1543187628.4656916,9,6.159276962280273
1543187645.165526,0,5.915292263031006
1543187645.282542,1,4.981573581695557
1543187645.3935673,2,4.303574085235596
1543187645.50736,3,4.092236042022705
1543187645.6186604,4,4.001158237457275
1543187645.7286837,5,4.019574165344238
1543187645.8373816,6,3.868924379348755
1543187645.9471335,7,3.594261646270752
1543187646.056629,8,3.5063984394073486
1543187646.1690788,9,3.5980188846588135
1543187661.833693,0,3.403930425643921
1543187661.9580383,1,3.158625841140747
1543187662.0805924,2,3.028118133544922
1543187662.1987557,3,2.9817774295806885
1543187662.314975,4,2.9489946365356445
1543187662.4325674,5,2.8924708366394043
1543187662.5492435,6,2.8073363304138184
1543187662.6697822,7,3.1612935066223145
1543187662.7875233,8,6.279298305511475
1543187662.906056,9,9.29350471496582
1543187678.5681832,0,9.131363868713379
1543187678.6804836,1,7.456838130950928
1543187678.7925034,2,5.9795989990234375
1543187678.9060075,3,5.470944404602051
1543187679.0147994,4,5.596451759338379
1543187679.1281853,5,4.953538417816162
1543187679.2386587,6,4.151844024658203
1543187679.3484614,7,3.9638586044311523
1543187679.4601414,8,3.8601016998291016
1543187679.5712156,9,3.963179111480713
1543187694.5223522,0,10.315220832824707
1543187694.6467767,1,71.19265747070312
1543187694.761396,2,140.83934020996094
1543187694.873623,3,174.4168243408203
1543187694.9866545,4,179.812255859375
1543187695.0973961,5,171.68490600585938
1543187695.2089381,6,157.88526916503906
1543187695.3213367,7,141.70294189453125
1543187695.4346225,8,124.7902603149414
1543187695.5445359,9,108.25858306884766
1543187710.7180843,0,92.85885620117188
1543187710.8365295,1,79.00102996826172
1543187710.9530513,2,67.07478332519531
1543187711.069867,3,56.66728591918945
1543187711.184853,4,47.6807975769043
1543187711.2988865,5,40.150997161865234
1543187711.4124787,6,33.91603469848633
1543187711.5297587,7,28.92300796508789
1543187711.6423283,8,24.610763549804688
1543187711.7583616,9,20.80625343322754
1543187727.4286752,0,17.672801971435547
1543187727.5435152,1,15.085331916809082
1543187727.6597064,2,12.958646774291992
1543187727.772405,3,11.216867446899414
1543187727.8862638,4,9.77968978881836
1543187727.9976094,5,8.619072914123535
1543187728.115159,6,7.732815265655518
1543187728.2282212,7,6.979668140411377
1543187728.343838,8,6.305048942565918
1543187728.458404,9,5.777791976928711
1543187743.8987978,0,5.278569221496582
1543187744.0213552,1,4.951461315155029
1543187744.1336083,2,4.640933990478516
